study_tag	study_accession	reported_trait	cohorts	imputation_panel	variant_count	ftp_path
UKBB_EUR_XL_HDL_C_pct	GCST90449815	Cholesterol to total lipids ratio in very large HDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449815/GCST90449815.tsv.gz
UKBB_EUR_XL_HDL_C	GCST90449816	Cholesterol in very large HDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449816/GCST90449816.tsv.gz
UKBB_EUR_XL_HDL_FC_pct	GCST90449817	Free cholesterol to total lipids ratio in very large HDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449817/GCST90449817.tsv.gz
UKBB_EUR_XL_HDL_FC	GCST90449818	Free cholesterol in very large HDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449818/GCST90449818.tsv.gz
UKBB_EUR_XL_HDL_L	GCST90449819	Total lipids in very large HDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449819/GCST90449819.tsv.gz
UKBB_EUR_XL_HDL_PL_pct	GCST90449820	Phospholipids to total lipids ratio in very large HDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449820/GCST90449820.tsv.gz
UKBB_EUR_XL_HDL_PL	GCST90449821	Phospholipids in very large HDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449821/GCST90449821.tsv.gz
UKBB_EUR_XL_HDL_P	GCST90449822	Concentration of very large HDL particles	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449822/GCST90449822.tsv.gz
UKBB_EUR_XL_HDL_TG_pct	GCST90449823	Triglycerides to total lipids ratio in very large HDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449823/GCST90449823.tsv.gz
UKBB_EUR_XL_HDL_TG	GCST90449824	Triglycerides in very large HDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449824/GCST90449824.tsv.gz
UKBB_EUR_XL_VLDL_CE_pct	GCST90449825	Cholesteryl esters to total lipids ratio in very large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449825/GCST90449825.tsv.gz
UKBB_EUR_XL_VLDL_CE	GCST90449826	Cholesteryl esters in very large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449826/GCST90449826.tsv.gz
UKBB_EUR_XL_VLDL_C_pct	GCST90449827	Cholesterol to total lipids ratio in very large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449827/GCST90449827.tsv.gz
UKBB_EUR_XL_VLDL_C	GCST90449828	Cholesterol in very large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449828/GCST90449828.tsv.gz
UKBB_EUR_XL_VLDL_FC_pct	GCST90449829	Free cholesterol to total lipids ratio in very large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449829/GCST90449829.tsv.gz
UKBB_EUR_XL_VLDL_FC	GCST90449830	Free cholesterol in very large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449830/GCST90449830.tsv.gz
UKBB_EUR_XL_VLDL_L	GCST90449831	Total lipids in very large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449831/GCST90449831.tsv.gz
UKBB_EUR_XL_VLDL_PL_pct	GCST90449832	Phospholipids to total lipids ratio in very large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449832/GCST90449832.tsv.gz
UKBB_EUR_XL_VLDL_PL	GCST90449833	Phospholipids in very large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449833/GCST90449833.tsv.gz
UKBB_EUR_XL_VLDL_P	GCST90449834	Concentration of very large VLDL particles	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449834/GCST90449834.tsv.gz
UKBB_EUR_XL_VLDL_TG_pct	GCST90449835	Triglycerides to total lipids ratio in very large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449835/GCST90449835.tsv.gz
UKBB_EUR_XL_VLDL_TG	GCST90449836	Triglycerides in very large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449836/GCST90449836.tsv.gz
UKBB_EUR_XS_VLDL_CE_pct	GCST90449837	Cholesteryl esters to total lipids ratio in very small VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449837/GCST90449837.tsv.gz
UKBB_EUR_XS_VLDL_CE	GCST90449838	Cholesteryl esters in very small VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449838/GCST90449838.tsv.gz
UKBB_EUR_XS_VLDL_C_pct	GCST90449839	Cholesterol to total lipids ratio in very small VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449839/GCST90449839.tsv.gz
UKBB_EUR_XS_VLDL_C	GCST90449840	Cholesterol in very small VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449840/GCST90449840.tsv.gz
UKBB_EUR_XS_VLDL_FC_pct	GCST90449841	Free cholesterol to total lipids ratio in very small VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449841/GCST90449841.tsv.gz
UKBB_EUR_XS_VLDL_FC	GCST90449842	Free cholesterol in very small VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449842/GCST90449842.tsv.gz
UKBB_EUR_XS_VLDL_L	GCST90449843	Total lipids in very small VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449843/GCST90449843.tsv.gz
UKBB_EUR_XS_VLDL_PL_pct	GCST90449844	Phospholipids to total lipids ratio in very small VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449844/GCST90449844.tsv.gz
UKBB_EUR_XS_VLDL_PL	GCST90449845	Phospholipids in very small VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449845/GCST90449845.tsv.gz
UKBB_EUR_XS_VLDL_P	GCST90449846	Concentration of very small VLDL particles	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449846/GCST90449846.tsv.gz
UKBB_EUR_XS_VLDL_TG_pct	GCST90449847	Triglycerides to total lipids ratio in very small VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449847/GCST90449847.tsv.gz
UKBB_EUR_XS_VLDL_TG	GCST90449848	Triglycerides in very small VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449848/GCST90449848.tsv.gz
UKBB_EUR_XXL_VLDL_CE_pct	GCST90449849	Cholesteryl esters to total lipids ratio in chylomicrons and extremely large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449849/GCST90449849.tsv.gz
UKBB_EUR_XXL_VLDL_CE	GCST90449850	Cholesteryl esters in chylomicrons and extremely large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449850/GCST90449850.tsv.gz
UKBB_EUR_XXL_VLDL_C_pct	GCST90449851	Cholesterol to total lipids ratio in chylomicrons and extremely large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449851/GCST90449851.tsv.gz
UKBB_EUR_XXL_VLDL_C	GCST90449852	Cholesterol in chylomicrons and extremely large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449852/GCST90449852.tsv.gz
UKBB_EUR_XXL_VLDL_FC_pct	GCST90449853	Free cholesterol to total lipids ratio in chylomicrons and extremely large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449853/GCST90449853.tsv.gz
UKBB_EUR_XXL_VLDL_FC	GCST90449854	Free cholesterol in chylomicrons and extremely large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449854/GCST90449854.tsv.gz
UKBB_EUR_XXL_VLDL_L	GCST90449855	Total lipids in chylomicrons and extremely large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449855/GCST90449855.tsv.gz
UKBB_EUR_XXL_VLDL_PL_pct	GCST90449856	Phospholipids to total lipids ratio in chylomicrons and extremely large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449856/GCST90449856.tsv.gz
UKBB_EUR_XXL_VLDL_PL	GCST90449857	Phospholipids in chylomicrons and extremely large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449857/GCST90449857.tsv.gz
UKBB_EUR_XXL_VLDL_P	GCST90449858	Concentration of chylomicrons and extremely large VLDL particles	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449858/GCST90449858.tsv.gz
UKBB_EUR_XXL_VLDL_TG_pct	GCST90449859	Triglycerides to total lipids ratio in chylomicrons and extremely large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449859/GCST90449859.tsv.gz
UKBB_EUR_XXL_VLDL_TG	GCST90449860	Triglycerides in chylomicrons and extremely large VLDL	UKBB	Genomics England (n=78195)	95729866	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449860/GCST90449860.tsv.gz
UKBB_AFR_Acetate	GCST90449861	Acetate	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449861/GCST90449861.tsv.gz
UKBB_AFR_Acetoacetate	GCST90449862	Acetoacetate	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449862/GCST90449862.tsv.gz
UKBB_AFR_Acetone	GCST90449863	Acetone	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449863/GCST90449863.tsv.gz
UKBB_AFR_Ala	GCST90449864	Alanine	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449864/GCST90449864.tsv.gz
UKBB_AFR_Albumin	GCST90449865	Albumin	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449865/GCST90449865.tsv.gz
UKBB_AFR_ApoA1	GCST90449866	Apolipoprotein A1	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449866/GCST90449866.tsv.gz
UKBB_AFR_ApoB_by_ApoA1	GCST90449867	Ratio of apolipoprotein B to apolipoprotein A1	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449867/GCST90449867.tsv.gz
UKBB_AFR_ApoB	GCST90449868	Apolipoprotein B	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449868/GCST90449868.tsv.gz
UKBB_AFR_bOHbutyrate	GCST90449869	3-Hydroxybutyrate	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449869/GCST90449869.tsv.gz
UKBB_AFR_Cholines	GCST90449870	Total cholines	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449870/GCST90449870.tsv.gz
UKBB_AFR_Citrate	GCST90449871	Citrate	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449871/GCST90449871.tsv.gz
UKBB_AFR_Clinical_LDL_C	GCST90449872	Clinical LDL cholesterol	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449872/GCST90449872.tsv.gz
UKBB_AFR_Creatinine	GCST90449873	Creatinine	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449873/GCST90449873.tsv.gz
UKBB_AFR_DHA_pct	GCST90449874	Ratio of docosahexaenoic acid to total fatty acids	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449874/GCST90449874.tsv.gz
UKBB_AFR_DHA	GCST90449875	Docosahexaenoic acid	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449875/GCST90449875.tsv.gz
UKBB_AFR_Gln	GCST90449876	Glutamine	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449876/GCST90449876.tsv.gz
UKBB_AFR_Glucose	GCST90449877	Glucose	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449877/GCST90449877.tsv.gz
UKBB_AFR_GlycA	GCST90449878	Glycoprotein acetyls	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449878/GCST90449878.tsv.gz
UKBB_AFR_Gly	GCST90449879	Glycine	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449879/GCST90449879.tsv.gz
UKBB_AFR_HDL_CE	GCST90449880	Cholesteryl esters in HDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449880/GCST90449880.tsv.gz
UKBB_AFR_HDL_C	GCST90449881	HDL cholesterol	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449881/GCST90449881.tsv.gz
UKBB_AFR_HDL_FC	GCST90449882	Free cholesterol in HDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449882/GCST90449882.tsv.gz
UKBB_AFR_HDL_L	GCST90449883	Total lipids in HDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449883/GCST90449883.tsv.gz
UKBB_AFR_HDL_PL	GCST90449884	Phospholipids in HDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449884/GCST90449884.tsv.gz
UKBB_AFR_HDL_P	GCST90449885	Concentration of HDL particles	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449885/GCST90449885.tsv.gz
UKBB_AFR_HDL_size	GCST90449886	Average diameter for HDL particles	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449886/GCST90449886.tsv.gz
UKBB_AFR_HDL_TG	GCST90449887	Triglycerides in HDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449887/GCST90449887.tsv.gz
UKBB_AFR_His	GCST90449888	Histidine	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449888/GCST90449888.tsv.gz
UKBB_AFR_IDL_CE_pct	GCST90449889	Cholesteryl esters to total lipids ratio in IDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449889/GCST90449889.tsv.gz
UKBB_AFR_IDL_CE	GCST90449890	Cholesteryl esters in IDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449890/GCST90449890.tsv.gz
UKBB_AFR_IDL_C_pct	GCST90449891	Cholesterol to total lipids ratio in IDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449891/GCST90449891.tsv.gz
UKBB_AFR_IDL_C	GCST90449892	Cholesterol in IDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449892/GCST90449892.tsv.gz
UKBB_AFR_IDL_FC_pct	GCST90449893	Free cholesterol to total lipids ratio in IDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449893/GCST90449893.tsv.gz
UKBB_AFR_IDL_FC	GCST90449894	Free cholesterol in IDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449894/GCST90449894.tsv.gz
UKBB_AFR_IDL_L	GCST90449895	Total lipids in IDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449895/GCST90449895.tsv.gz
UKBB_AFR_IDL_PL_pct	GCST90449896	Phospholipids to total lipids ratio in IDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449896/GCST90449896.tsv.gz
UKBB_AFR_IDL_PL	GCST90449897	Phospholipids in IDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449897/GCST90449897.tsv.gz
UKBB_AFR_IDL_P	GCST90449898	Concentration of IDL particles	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449898/GCST90449898.tsv.gz
UKBB_AFR_IDL_TG_pct	GCST90449899	Triglycerides to total lipids ratio in IDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449899/GCST90449899.tsv.gz
UKBB_AFR_IDL_TG	GCST90449900	Triglycerides in IDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449900/GCST90449900.tsv.gz
UKBB_AFR_Ile	GCST90449901	Isoleucine	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449901/GCST90449901.tsv.gz
UKBB_AFR_Lactate	GCST90449902	Lactate	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449902/GCST90449902.tsv.gz
UKBB_AFR_LA_pct	GCST90449903	Ratio of linoleic acid to total fatty acids	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449903/GCST90449903.tsv.gz
UKBB_AFR_LA	GCST90449904	Linoleic acid	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449904/GCST90449904.tsv.gz
UKBB_AFR_LDL_CE	GCST90449905	Cholesteryl esters in LDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449905/GCST90449905.tsv.gz
UKBB_AFR_LDL_C	GCST90449906	LDL cholesterol	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449906/GCST90449906.tsv.gz
UKBB_AFR_LDL_FC	GCST90449907	Free cholesterol in LDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449907/GCST90449907.tsv.gz
UKBB_AFR_LDL_L	GCST90449908	Total lipids in LDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449908/GCST90449908.tsv.gz
UKBB_AFR_LDL_PL	GCST90449909	Phospholipids in LDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449909/GCST90449909.tsv.gz
UKBB_AFR_LDL_P	GCST90449910	Concentration of LDL particles	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449910/GCST90449910.tsv.gz
UKBB_AFR_LDL_size	GCST90449911	Average diameter for LDL particles	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449911/GCST90449911.tsv.gz
UKBB_AFR_LDL_TG	GCST90449912	Triglycerides in LDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449912/GCST90449912.tsv.gz
UKBB_AFR_Leu	GCST90449913	Leucine	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449913/GCST90449913.tsv.gz
UKBB_AFR_L_HDL_CE_pct	GCST90449914	Cholesteryl esters to total lipids ratio in large HDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449914/GCST90449914.tsv.gz
UKBB_AFR_L_HDL_CE	GCST90449915	Cholesteryl esters in large HDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449915/GCST90449915.tsv.gz
UKBB_AFR_L_HDL_C_pct	GCST90449916	Cholesterol to total lipids ratio in large HDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449916/GCST90449916.tsv.gz
UKBB_AFR_L_HDL_C	GCST90449917	Cholesterol in large HDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449917/GCST90449917.tsv.gz
UKBB_AFR_L_HDL_FC_pct	GCST90449918	Free cholesterol to total lipids ratio in large HDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449918/GCST90449918.tsv.gz
UKBB_AFR_L_HDL_FC	GCST90449919	Free cholesterol in large HDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449919/GCST90449919.tsv.gz
UKBB_AFR_L_HDL_L	GCST90449920	Total lipids in large HDL	UKBB	Genomics England (n=78195)	26776919	ftp://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics//GCST90449001-GCST90450000/GCST90449920/GCST90449920.tsv.gz
